#         t          m          r          x          y          z         vx         vy         vz
      0.000      1.016      3.935   -476.220    491.440   -412.410     45.330    101.980    142.020
     14.286      0.993      3.890   -475.590    492.880   -410.420     43.580    102.570    142.250
     28.571      1.197      4.390   -474.990    494.360   -408.370     45.460    104.700    144.420
     42.857      1.137      4.400   -474.310    495.870   -406.290     47.630    106.060    146.180
     57.143      1.062      4.404   -473.620    497.400   -404.180     46.890    105.230    146.210
     71.429      1.135      4.400   -472.950    498.950   -402.040     48.240    106.430    147.110
     85.714      0.968      3.816   -472.280    500.500   -399.920     49.760    108.810    148.280
    100.000      0.297      0.871   -471.590    502.090   -397.810     49.630    107.970    148.590
    114.286      1.015      3.707   -470.880    503.610   -395.670     53.850    109.230    150.740
    128.571      0.333      0.928   -470.080    505.200   -393.540     56.780    109.110    149.630
    142.857      0.310      0.925   -469.310    506.760   -391.420     58.540    111.420    150.780
    157.143      0.364      1.098   -468.500    508.390   -389.270     59.940    113.640    152.500
    171.429      0.074      0.259   -467.690    510.030   -387.100     60.910    113.940    153.570
    185.714      0.101      0.309   -466.820    511.690   -384.840     62.620    114.870    154.630
    200.000      0.338      0.987   -465.920    513.370   -382.590     62.730    116.850    157.220
    214.286      0.352      0.951   -465.050    515.030   -380.300     63.150    116.570    159.980
    228.571      0.334      0.896   -464.160    516.700   -377.960     64.300    117.320    162.280
    242.857      0.327      0.976   -463.170    518.380   -375.590     66.170    118.490    163.650
    257.143      0.330      0.973   -462.200    520.050   -373.230     69.980    118.940    165.500
    271.429      0.997      3.749   -461.170    521.720   -370.880     70.500    122.140    169.040
    285.714      0.344      0.975   -460.200    523.510   -368.470     71.810    123.800    170.880
    300.000      0.079      0.265   -459.170    525.330   -365.980     74.170    125.800    175.650
    314.286      0.323      0.968   -458.060    527.140   -363.470     77.020    126.080    176.270
    328.571      0.346      0.991   -456.940    528.950   -360.960     79.370    127.490    177.820
    342.857      0.346      0.985   -455.820    530.810   -358.390     80.850    128.750    181.810
    357.143      0.074      0.274   -454.660    532.670   -355.780     81.390    129.040    183.430
    371.429      0.314      0.974   -453.440    534.520   -353.120     86.470    129.960    184.730
    385.714      0.358      1.024   -452.180    536.370   -350.490     87.500    131.270    187.110
    400.000      1.062      4.043   -450.770    538.180   -347.790     90.240    130.510    187.230
    414.286      1.124      4.206   -449.450    540.070   -345.060     93.900    131.410    189.980
    428.571      1.061      3.930   -448.100    541.960   -342.360     96.310    133.640    191.170
    442.857      1.086      4.329   -446.670    543.840   -339.650     96.740    133.250    192.480
    457.143      1.225      4.290   -445.260    545.740   -336.910    101.550    133.690    194.270
    471.429      0.942      3.972   -443.830    547.630   -334.200    102.740    134.330    196.910
    485.714      1.320      5.010   -442.360    549.550   -331.320    104.350    133.420    199.610
    500.000      1.291      5.091   -440.900    551.430   -328.530    108.410    135.030    202.870
    514.286      0.351      1.050   -439.380    553.330   -325.750    111.240    136.170    205.710
    528.571      0.374      1.127   -437.760    555.280   -322.820    118.410    135.120    205.210
    542.857      0.344      0.928   -436.040    557.200   -319.910    122.770    134.750    207.250
    557.143      0.346      1.032   -434.300    559.160   -316.980    126.540    137.880    210.600
    571.429      0.350      1.048   -432.470    561.120   -313.980    130.050    136.890    210.530
    585.714      0.338      0.978   -430.590    563.080   -310.950    136.210    135.450    212.540
    600.000      0.347      1.037   -428.630    565.040   -307.870    140.400    135.880    215.270
    614.286      0.341      0.970   -426.590    567.010   -304.740    144.320    136.500    218.620
    628.571      0.363      1.028   -424.520    568.940   -301.580    147.660    135.200    221.860
