#         t          m          r          x          y          z         vx         vy         vz
      0.000      0.203      0.296     -1.950      3.060     -1.460      0.250      4.160     -0.440
     14.286      0.203      0.296     -1.950      3.060     -1.460      0.250      4.160     -0.440
     28.571      0.332      0.362     -1.860      3.150     -1.480      0.860      4.650     -1.800
     42.857      0.224      0.302     -1.780      3.140     -1.490      0.520      8.270     -1.090
     57.143      0.375      0.370     -1.770      3.120     -1.480     -0.000      7.610     -0.920
     71.429      0.329      0.359     -1.790      3.120     -1.490     -1.080      7.940     -0.360
     85.714      0.381      0.385     -1.830      3.150     -1.500     -1.040      9.640     -1.220
    100.000      0.366      0.386     -1.810      3.180     -1.530     -1.720      6.740     -1.950
    114.286      0.211      0.305     -1.850      3.170     -1.540     -1.960      8.940     -0.890
    128.571      0.229      0.304     -1.880      3.210     -1.560     -1.840      7.900     -1.300
    142.857      0.251      0.316     -1.910      3.250     -1.570     -3.200      9.160     -0.930
    157.143      0.204      0.285     -1.980      3.280     -1.600     -4.310      9.580     -1.470
    171.429      2.393      1.629     -2.020      3.330     -1.600     -5.970     10.060     -0.040
    185.714      0.375      0.374     -2.080      3.370     -1.600     -4.650      9.830     -0.220
    200.000      2.323      1.475     -2.160      3.410     -1.600     -5.970      8.060      0.050
    214.286      0.292      0.338     -2.250      3.490     -1.590     -2.640      8.040      0.070
    228.571      0.224      0.293     -2.290      3.560     -1.580     -2.350      7.870     -0.370
    242.857      2.411      1.570     -2.300      3.610     -1.580     -4.760      7.240      0.780
    257.143      9.056      8.753     -2.370      3.570     -1.570     -4.770      8.660     -0.340
    271.429      8.336      8.012     -2.410      3.630     -1.560     -5.240      7.940     -0.160
    285.714      7.968      7.598     -2.440      3.710     -1.560     -4.520      8.120     -0.190
    300.000      8.762      8.206     -2.540      3.780     -1.550     -6.380      6.810      1.070
    314.286      8.746      8.133     -2.590      3.830     -1.550     -4.790      5.800      1.680
    328.571      8.455      8.081     -2.720      3.920     -1.530     -6.360      8.190      0.780
    342.857      7.787      7.160     -2.720      4.010     -1.520     -8.360      7.800      0.650
    357.143      2.908      1.901     -2.910      4.100     -1.530     -6.720      7.970      0.590
    371.429      2.811      1.912     -3.040      4.210     -1.530     -8.120      9.140     -0.420
    385.714      0.570      0.469     -3.170      4.350     -1.540    -10.950      8.620     -0.790
    400.000     10.230      9.889     -3.070      4.420     -1.560    -10.340      9.400     -1.690
    414.286      8.211      8.027     -3.200      4.600     -1.590     -9.430     10.640     -2.650
    428.571      8.842      8.287     -3.300      4.750     -1.620     -9.010     12.700     -2.310
    442.857      8.465      8.102     -3.430      4.850     -1.660    -10.010     13.030     -1.690
